,Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
0,2018-04-01 01:00:00,12.67,288.7,4.431,2.013,0.398,-9.57,-9.57,0.002,91.6,-0.045,768.7,AF
1,2018-04-01 02:00:00,12.47,288.9,3.432,1.979,0.407,-10.87,-10.81,0.06,90.8,-0.018,769.6,AF
2,2018-04-01 03:00:00,11.55,286.6,3.484,1.803,0.356,-11.36,-11.29,0.064,90.6,-0.006,770.4,AF
3,2018-04-01 04:00:00,11.67,287.2,3.886,1.847,0.398,-12.32,-12.17,0.152,90.0,-0.009,771.2,AF
4,2018-04-01 05:00:00,11.04,284.2,3.716,1.683,0.365,-12.99,-12.81,0.177,89.5,-0.019,772.0,AF
5,2018-04-01 06:00:00,11.02,280.9,3.411,1.673,0.382,-13.22,-13.22,0.0,89.3,-0.007,772.7,AF
6,2018-04-01 07:00:00,12.14,281.8,3.579,1.912,0.405,-13.17,-13.24,-0.064,89.1,0.482,773.5,AF
7,2018-04-01 08:00:00,12.53,285.1,3.308,1.98,0.378,-13.72,-13.83,-0.114,88.6,12.21,774.0,AF
8,2018-04-01 09:00:00,11.36,283.6,3.217,1.77,0.33,-14.4,-14.6,-0.201,86.7,90.3,774.7,AF
9,2018-04-01 10:00:00,11.56,281.1,3.286,1.778,0.369,-14.81,-15.42,-0.605,83.9,234.9,775.4,AF
10,2018-04-01 11:00:00,10.58,280.9,3.179,1.617,0.335,-14.85,-15.7,-0.855,82.0,372.3,776.1,AF
11,2018-04-01 12:00:00,9.52,280.5,2.988,1.387,0.293,-14.92,-15.66,-0.746,80.6,470.3,776.7,AF
12,2018-04-01 13:00:00,10.17,279.5,3.019,1.521,0.314,-15.0,-15.27,-0.274,81.5,538.8,777.2,AF
13,2018-04-01 14:00:00,9.88,281.1,3.291,1.489,0.312,-15.22,-15.07,0.147,82.3,554.0,777.8,AF
14,2018-04-01 15:00:00,9.68,286.8,3.521,1.493,0.275,-15.29,-14.99,0.298,82.6,543.5,778.2,AF
15,2018-04-01 16:00:00,8.68,288.3,3.421,1.349,0.259,-15.19,-14.92,0.268,82.8,502.7,778.5,AF
16,2018-04-01 17:00:00,6.76,276.8,4.819,0.986,0.23,-15.0,-14.56,0.446,82.4,430.0,778.9,AF
17,2018-04-01 18:00:00,6.09,268.0,5.923,0.828,0.217,-15.02,-14.74,0.272,82.7,340.2,779.1,AF
18,2018-04-01 19:00:00,6.169,260.8,4.951,0.797,0.183,-15.22,-15.34,-0.12,82.9,250.6,779.3,AF
19,2018-04-01 20:00:00,5.482,254.3,6.125,0.644,0.165,-16.12,-16.28,-0.16,83.3,149.5,779.4,AF
20,2018-04-01 21:00:00,5.826,248.6,6.351,0.636,0.124,-17.85,-17.2,0.652,84.1,63.17,779.4,AF
21,2018-04-01 22:00:00,5.229,248.5,8.77,0.535,0.161,-19.49,-18.14,1.348,85.3,6.128,779.3,AF
22,2018-04-01 23:00:00,5.244,236.2,7.406,0.444,0.185,-20.36,-19.07,1.291,85.1,0.014,779.3,AF
23,2018-04-02 00:00:00,4.716,244.3,6.394,0.455,0.155,-20.45,-18.84,1.603,85.1,-0.059,779.1,AF
