,Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
0,2019-01-03 00:00:00,IL,BJ,BJ,-0.001,0.0,-14.334,-14.291,0.043,87.5,0.0,740.4,AF
1,2019-01-03 01:00:00,IL,BJ,BJ,-0.001,0.006,-14.552,-14.495,0.057,87.5,0.0,740.9,AF
2,2019-01-03 02:00:00,IL,BJ,BJ,0.026,0.06,-14.95,-14.879,0.071,87.2,0.0,741.7,AF
3,2019-01-03 03:00:00,IL,BJ,BJ,0.108,0.214,-15.438,-15.352,0.086,87.0,0.0,742.4,AF
4,2019-01-03 04:00:00,2.085,BJ,BJ,0.474,0.548,-16.438,-16.515,-0.077,86.3,0.0,743.2,AF
5,2019-01-03 05:00:00,2.862,BJ,BJ,0.997,0.202,-16.425,-16.438,-0.013,85.8,0.0,744.0,AF
6,2019-01-03 06:00:00,8.72,BJ,BJ,0.587,0.312,-15.374,-15.3,0.074,86.7,0.0,744.9,AF
7,2019-01-03 07:00:00,12.76,BJ,BJ,1.513,0.332,-15.13,-15.07,0.06,87.0,0.0,745.5,AF
8,2019-01-03 08:00:00,13.09,BJ,BJ,1.325,0.293,-15.771,-15.761,0.01,86.5,0.0,746.4,AF
9,2019-01-03 09:00:00,12.61,BJ,BJ,1.065,0.269,-16.515,-16.502,0.013,85.9,0.0,747.2,AF
10,2019-01-03 10:00:00,12.75,BJ,BJ,0.868,0.304,-17.452,-17.422,0.03,85.2,0.0,748.0,AF
11,2019-01-03 11:00:00,11.86,BJ,BJ,0.567,0.301,-17.837,-17.793,0.044,84.9,0.0,749.0,AF
12,2019-01-03 12:00:00,10.81,BJ,BJ,0.253,0.224,-18.542,-18.419,0.123,84.4,0.121,750.0,AF
13,2019-01-03 13:00:00,10.98,BJ,BJ,0.204,0.207,-18.876,-18.752,0.124,84.1,0.741,750.7,AF
14,2019-01-03 14:00:00,10.97,BJ,BJ,0.334,0.245,-18.863,-18.879,-0.016,84.0,0.983,751.5,AF
15,2019-01-03 15:00:00,10.59,BJ,BJ,0.336,0.238,-19.504,-19.57,-0.066,83.6,0.499,752.1,AF
16,2019-01-03 16:00:00,9.53,BJ,BJ,0.464,0.217,-20.107,-20.106,0.001,83.1,0.0,752.7,AF
17,2019-01-03 17:00:00,9.07,BJ,BJ,0.426,0.195,-20.364,-20.349,0.015,82.8,0.0,753.3,AF
18,2019-01-03 18:00:00,8.9,BJ,BJ,0.276,0.196,-20.556,-20.554,0.002,82.7,0.0,753.8,AF
19,2019-01-03 19:00:00,8.34,BJ,BJ,0.133,0.178,-20.877,-20.861,0.016,82.5,0.0,754.3,AF
