,Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
0,2019-02-14 00:00:00,3.26,244.2,6.567,0.32799999999999996,0.126,-34.537,-33.244,1.2930000000000001,74.07,0.0,769.0,AF
1,2019-02-14 01:00:00,3.528,257.8,4.113,0.368,0.13,-34.255,-32.41,1.845,74.64,0.0,769.3,AF
2,2019-02-14 02:00:00,2.097,249.8,15.67,0.226,0.131,-34.805,-33.103,1.702,73.94,-0.102,769.4,AF
3,2019-02-14 03:00:00,2.655,222.3,6.8229999999999995,0.23199999999999998,0.127,-35.726,-33.898,1.828,73.31,-0.102,769.4,AF
4,2019-02-14 04:00:00,2.2359999999999998,227.1,26.74,0.23,0.18100000000000002,-35.445,-33.552,1.893,73.84,-0.102,769.5,AF
5,2019-02-14 05:00:00,0.9540000000000001,185.8,13.14,0.08199999999999999,0.078,-36.66,-34.463,2.197,72.76,0.0,769.5,AF
6,2019-02-14 06:00:00,2.2430000000000003,185.8,6.232,0.141,0.126,-36.699,-33.372,3.327,73.5,0.0,769.4,AF
7,2019-02-14 07:00:00,1.8359999999999999,150.2,5.486000000000001,0.09699999999999999,0.10099999999999999,-35.893,-32.782,3.111,74.35,0.102,769.2,AF
8,2019-02-14 08:00:00,1.7519999999999998,128.7,4.209,0.09300000000000001,0.081,-35.586,-32.268,3.318,74.11,0.0,769.2,AF
9,2019-02-14 09:00:00,2.145,142.0,3.9360000000000004,0.092,0.07200000000000001,-35.573,-32.641,2.932,74.25,0.102,768.8,AF
10,2019-02-14 10:00:00,2.614,127.8,3.3110000000000004,0.156,0.11,-35.509,-33.128,2.381,73.8,4.461,768.1,AF
