,Timestamp,Primary 10-meter Scalar Wind Speed (m/s),Primary 10-meter Scalar Wind Direction (degrees),Primary 10-meter Wind Direction Standard Deviation (degrees),Primary 10-meter Vertical Wind Speed (m/s),Primary 10-meter Vertical Wind Speed Standard Deviation(m/s),Primary 2 m Temperature (C),Primary 10 m Temperature (C),Primary 10-2 m Temperature Difference (C),Primary Relative Humidity (%),Primary Total Solar Radiation,Primary Barometric Pressure (mb),junk
0,2018-04-01 01:00:00,12.22,284.7,4.016,AN,AN,-9.55,-9.54,0.013,91.0,-0.041,768.5,AF
1,2018-04-01 02:00:00,11.95,284.7,3.084,AN,AN,-10.85,-10.78,0.069,90.2,0.02,769.4,AF
2,2018-04-01 03:00:00,11.0,282.6,2.956,AN,AN,-11.33,-11.26,0.07,89.9,0.016,770.2,AF
3,2018-04-01 04:00:00,11.16,283.2,3.29,AN,AN,-12.3,-12.14,0.156,89.3,0.01,771.0,AF
4,2018-04-01 05:00:00,10.47,280.6,3.096,AN,AN,-12.96,-12.79,0.177,88.8,0.012,771.8,AF
5,2018-04-01 06:00:00,10.41,277.9,2.834,AN,AN,-13.19,-13.19,-0.001,88.5,0.009,772.5,AF
6,2018-04-01 07:00:00,11.45,278.5,3.005,AN,AN,-13.15,-13.21,-0.063,88.3,0.508,773.2,AF
7,2018-04-01 08:00:00,11.86,281.2,2.598,AN,AN,-13.69,-13.8,-0.111,87.8,12.32,773.8,AF
8,2018-04-01 09:00:00,10.75,280.0,2.655,AN,AN,-14.38,-14.57,-0.188,86.4,90.5,774.5,AF
9,2018-04-01 10:00:00,10.9,278.0,2.775,AN,AN,-14.8,-15.36,-0.559,83.5,242.7,775.1,AF
10,2018-04-01 11:00:00,9.99,277.8,2.705,AN,AN,-14.85,-15.61,-0.763,80.7,380.6,775.9,AF
11,2018-04-01 12:00:00,9.01,277.6,2.545,AN,AN,-14.93,-15.52,-0.583,78.57,472.5,776.5,AF
12,2018-04-01 13:00:00,9.61,276.6,2.655,AN,AN,-15.02,-15.1,-0.086,78.37,524.2,777.0,AF
13,2018-04-01 14:00:00,9.35,277.9,2.842,AN,AN,-15.21,-14.89,0.322,80.1,545.9,777.6,AF
14,2018-04-01 15:00:00,9.2,282.6,2.89,AN,AN,-15.26,-14.82,0.443,80.7,545.8,778.0,AF
15,2018-04-01 16:00:00,8.29,283.9,2.967,AN,AN,-15.16,-14.81,0.346,81.0,508.3,778.3,AF
16,2018-04-01 17:00:00,6.495,274.0,4.614,AN,AN,-14.98,-14.44,0.538,80.1,448.5,778.7,AF
17,2018-04-01 18:00:00,5.904,265.3,5.788,AN,AN,-15.02,-14.65,0.373,79.77,367.1,778.9,AF
18,2018-04-01 19:00:00,6.204,258.3,4.859,AN,AN,-15.24,-15.29,-0.053,80.1,267.7,779.1,AF
19,2018-04-01 20:00:00,5.489,252.2,5.912,AN,AN,-16.09,-16.18,-0.09,81.0,152.4,779.2,AF
20,2018-04-01 21:00:00,5.792,246.7,6.132,AN,AN,-17.81,-17.13,0.686,82.3,52.68,779.2,AF
21,2018-04-01 22:00:00,5.297,246.5,8.58,AN,AN,-19.45,-18.11,1.341,84.1,5.856,779.1,AF
22,2018-04-01 23:00:00,5.361,234.7,7.102,AN,AN,-20.32,-19.04,1.283,84.4,0.208,779.1,AF
